source,target
1113464657308553217,1199021833695236000
1113464657308553217,1223523774152220700
1113464657308553217,1309512845537816600
1113464657308553217,1326113349084479500
1113464657308553217,3155762032
1113464657308553217,985527027485655000
1113464657308553217,1292459880654094300
1113464657308553217,901005544252739600
1113464657308553217,1256825713472221200
1113464657308553217,1244672584131772400
1113464657308553217,1318353459658150000
1113464657308553217,1302235037103009800
1113464657308553217,1120367597428650000
1113464657308553217,874187387475075100
1113464657308553217,333549343
1113464657308553217,1159841004414914600
1113464657308553217,1320359175688474600
1113464657308553217,1259905842138185700
1113464657308553217,1094307886933700600
1113464657308553217,4797853968
1113464657308553217,1271710906955653000
1113464657308553217,995869475151867900
1113464657308553217,396665537
1113464657308553217,1272682826341601300
1113464657308553217,1277401908945313800
1113464657308553217,1323620886998646800
1113464657308553217,1155831556059095000
1113464657308553217,1278474175171178500
1113464657308553217,1324568089518731300
1113464657308553217,3798832709
1113464657308553217,3317566024
1113464657308553217,1303621986707370000
1113464657308553217,1271897042839900200
1113464657308553217,1199987710607396900
1113464657308553217,1411591314
1113464657308553217,1170183506107830300
1113464657308553217,157506452
1113464657308553217,1070056403098755100
1113464657308553217,1095161310952808400
1113464657308553217,1325358959700533200
1113464657308553217,1292690382162198500
1113464657308553217,1318817688039223300
1113464657308553217,1279722580002271200
1113464657308553217,4055526625
1113464657308553217,1287953709024964600
1113464657308553217,1129717885671055400
1113464657308553217,1324179841722196000
1113464657308553217,1306618056177836000
1113464657308553217,1323990021653737500
1113464657308553217,1294261810862923800
1113464657308553217,3065089268
1113464657308553217,1311336026145775600
1113464657308553217,1315576348145057800
1113464657308553217,1154333981766111200
1113464657308553217,1068029365575929900
1113464657308553217,1267595324119376000
1113464657308553217,1311102805629780000
1113464657308553217,1233995449364697000
1113464657308553217,1253012147845488600
1113464657308553217,1218577675624697900
1113464657308553217,848401442612199400
1113464657308553217,1300785553403641900
1113464657308553217,1319639807790862300
1113464657308553217,1249233326428151800
1113464657308553217,1282506959053361200
1113464657308553217,91568357
1113464657308553217,1251697119087468500
1113464657308553217,1218150499809202200
1113464657308553217,1316444317314166800
1113464657308553217,1306740342725566500
1113464657308553217,1272184749126291500
1113464657308553217,1094269520930193400
1113464657308553217,1321469354802733000
1113464657308553217,1282631380376023000
1113464657308553217,1266878727683747800
1113464657308553217,1313420945726623700
1113464657308553217,1117495372421582800
1113464657308553217,1096066411040927700
1113464657308553217,1006947511
1113464657308553217,1312239024845787100
1113464657308553217,1269933202321182700
1113464657308553217,948033059617730600
1113464657308553217,1316812949265109000
1113464657308553217,1212049672186892300
1113464657308553217,878187009633919000
1113464657308553217,1315166380652593200
1113464657308553217,1234887218692599800
1113464657308553217,1320132633347518500
1113464657308553217,1289572380587614200
1113464657308553217,1319457808585269200
1113464657308553217,460826794
1113464657308553217,976084645862293500
1113464657308553217,1315138939389309000
1113464657308553217,1020067319693709300
1113464657308553217,1202353873555533800
1113464657308553217,1248224397195870200
1113464657308553217,558722936
1113464657308553217,1284657619836207000
1113464657308553217,1271226226858836000
1113464657308553217,1318487064619282400
1113464657308553217,499602425
1113464657308553217,880710911866138600
1113464657308553217,1313581759586599000
1113464657308553217,1181919108809531400
1113464657308553217,1318554472805769200
1113464657308553217,1057799648243404800
1113464657308553217,1112000510909833200
1113464657308553217,272287475
1113464657308553217,1311642214792007700
1113464657308553217,1218382741898547200
1113464657308553217,1267935217387356200
1113464657308553217,954530314814017500
1113464657308553217,1208049341212057600
1113464657308553217,1286833939454161000
1113464657308553217,872637212717969400
1113464657308553217,1311753837951230000
1113464657308553217,2646243132
1113464657308553217,1261703951923249200
1113464657308553217,1008164360517083100
1113464657308553217,974922206
1113464657308553217,1346858522
1113464657308553217,1304230169448644600
1113464657308553217,1182953347935981600
1113464657308553217,988277139412631600
1113464657308553217,1254483724231573500
1113464657308553217,1254865738499788800
1113464657308553217,224626108
1113464657308553217,949937315421433900
1113464657308553217,1312912778726785000
1113464657308553217,973362833248440300
1113464657308553217,1296181336395468800
1113464657308553217,1126771295469822000
1113464657308553217,1259713802536276000
1113464657308553217,1292309787347005400
1113464657308553217,1313537784691470300
1113464657308553217,1314670944816976000
1113464657308553217,1158026680658620400
1113464657308553217,1291867844720951300
1113464657308553217,1316059436515909600
1113464657308553217,1269611680343814100
1113464657308553217,1215955161128018000
1113464657308553217,966546547214135300
1113464657308553217,1252993032900587500
1113464657308553217,1078397482936152000
1113464657308553217,1002402485477224400
1113464657308553217,1315898312172527600
1113464657308553217,898908676488126500
1113464657308553217,1248991351401623600
1113464657308553217,1292527986210570200
1113464657308553217,1178645419917824000
1113464657308553217,1190000494552518700
1113464657308553217,1221844347496222700
1113464657308553217,4631078150
1113464657308553217,3304552216
1113464657308553217,1029445937431752700
1113464657308553217,3351474466
1113464657308553217,1071791288666722300
1113464657308553217,1285058065272672300
1113464657308553217,912860346431422500
1113464657308553217,1012581835904188400
1113464657308553217,861150759131398100
1113464657308553217,1315106230319415300
1113464657308553217,1314998674867458000
1113464657308553217,1314779966521835500
1113464657308553217,1267560907355365400
1113464657308553217,1117478315042967600
1113464657308553217,861590035803631600
1113464657308553217,1309421790729351200
1113464657308553217,1220394161762816000
1113464657308553217,3144488526
1113464657308553217,289322531
1113464657308553217,1296828191646990300
1113464657308553217,1309411231757820000
1113464657308553217,1288644113110192000
1113464657308553217,1000014015559487500
1113464657308553217,1293582365357293600
1113464657308553217,1296446185394167800
1113464657308553217,1252902421619069000
1113464657308553217,1314909847905681400
1113464657308553217,1306313111389925400
1113464657308553217,984681722833850400
1113464657308553217,1051803423077818400
1113464657308553217,1314909524981997600
