source,target
1000388114727124994,1185439620470734800
1000388114727124994,1031142011217178600
1000388114727124994,1067030061168189400
1000388114727124994,711285086239498200
1000388114727124994,1233611481528164400
1000388114727124994,986535135813091300
1000388114727124994,1263012077309882400
1000388114727124994,1270016396634648600
1000388114727124994,1324962101278859300
1000388114727124994,863637809688698900
1000388114727124994,1284135315704184800
1000388114727124994,1263442350199595000
1000388114727124994,1307883698528772000
1000388114727124994,2713107401
1000388114727124994,1313257679377162200
1000388114727124994,1103719363310432300
1000388114727124994,1305859471588167700
1000388114727124994,1240521520117461000
1000388114727124994,1324356050644922400
1000388114727124994,976564642179960800
1000388114727124994,1241336562962567200
1000388114727124994,1141652176663666700
1000388114727124994,1323234495789637600
1000388114727124994,881425759931215900
1000388114727124994,1106053662537859100
1000388114727124994,1161505598476869600
1000388114727124994,1069795680951005200
1000388114727124994,1229392446796124200
1000388114727124994,1138621892
1000388114727124994,1209449427464642600
1000388114727124994,1000679077664120800
1000388114727124994,958487246180515800
1000388114727124994,908930291133063200
1000388114727124994,1293587783869763600
1000388114727124994,1317835836398825500
1000388114727124994,859286678040494100
1000388114727124994,1274968376893272000
1000388114727124994,1215097302655754200
1000388114727124994,1243983171349123000
1000388114727124994,1259761704415580200
1000388114727124994,3362265382
1000388114727124994,704295471133511700
1000388114727124994,1226849039469043700
1000388114727124994,1323406678713200600
1000388114727124994,1250089122015793200
1000388114727124994,1313110104003104800
1000388114727124994,1151287182277193700
1000388114727124994,1303337445946261500
1000388114727124994,926916401159393300
1000388114727124994,109004243
1000388114727124994,1311567346352488400
1000388114727124994,1136346966
1000388114727124994,1314581027226935300
1000388114727124994,1263704350880383000
1000388114727124994,1318234006421426200
1000388114727124994,1320859325326348300
1000388114727124994,1107532036699492400
1000388114727124994,1013088472767139800
1000388114727124994,1213115253149450200
1000388114727124994,1031133362017120300
1000388114727124994,1246264834854776800
1000388114727124994,2296920524
1000388114727124994,1314921618079133700
1000388114727124994,1300390078926057500
1000388114727124994,274865357
1000388114727124994,1251476196581355500
1000388114727124994,1226517868281380900
1000388114727124994,1109446282093838300
1000388114727124994,1318683903951999000
1000388114727124994,1304345620866424800
1000388114727124994,1252972936555888600
1000388114727124994,1305304161475461000
1000388114727124994,1256524725376946200
1000388114727124994,1176797048944746500
1000388114727124994,742612467168092200
1000388114727124994,1322766828544745500
1000388114727124994,920042288364916700
1000388114727124994,1071391886760443900
1000388114727124994,1123228866179240000
1000388114727124994,732717667
1000388114727124994,1280181975479795700
1000388114727124994,981081000343085000
1000388114727124994,1293898626545209300
1000388114727124994,1182676062070812700
1000388114727124994,1297370281393025000
1000388114727124994,1027458828130865200
1000388114727124994,1242930408574107600
1000388114727124994,1064534989
1000388114727124994,1300843630605762600
1000388114727124994,1301091822421377000
1000388114727124994,1313521730078601200
1000388114727124994,1259066052438184000
1000388114727124994,1317662804707471400
1000388114727124994,1159087728643854300
1000388114727124994,1218790628793802800
1000388114727124994,1314145474782269400
1000388114727124994,1285376459994009600
1000388114727124994,1124998023082152000
1000388114727124994,1309479185451085800
1000388114727124994,1283225434713256000
1000388114727124994,1274018407814291500
1000388114727124994,1048203775549349900
1000388114727124994,1316238980988371000
1000388114727124994,1105095358542217200
1000388114727124994,2238152280
1000388114727124994,1171768980274462700
1000388114727124994,1077248474100523000
1000388114727124994,438220216
1000388114727124994,1173302705382670300
1000388114727124994,1124625031785525200
1000388114727124994,4271333178
1000388114727124994,1293269099468882000
1000388114727124994,1088386272538718200
1000388114727124994,1289371198711709700
1000388114727124994,1001484611594084400
1000388114727124994,1269402440824164400
1000388114727124994,968838176835072000
1000388114727124994,231893493
1000388114727124994,1299432270080741400
1000388114727124994,1294004965757911000
1000388114727124994,1246081279273177000
1000388114727124994,1250634078895759400
1000388114727124994,859860716320370700
1000388114727124994,1147978529306488800
1000388114727124994,1293173450857619500
1000388114727124994,1264153120512368600
1000388114727124994,1315814701821952000
1000388114727124994,1217314141557252000
1000388114727124994,867950001246408700
1000388114727124994,1304641461497917400
1000388114727124994,1286336771807236000
1000388114727124994,1267507935191670800
1000388114727124994,1305623881357484000
1000388114727124994,857389342469128200
1000388114727124994,1110505827423518700
1000388114727124994,1270284978241200000
1000388114727124994,1133083443565346800
1000388114727124994,3239146343
1000388114727124994,1247738449257365500
1000388114727124994,1315292375443337200
1000388114727124994,1300339975435686000
1000388114727124994,1315621001560912000
1000388114727124994,1199624984617840600
1000388114727124994,1251187587617706000
1000388114727124994,1310575490453758000
1000388114727124994,1083381675617386500
1000388114727124994,1264743761034326000
1000388114727124994,1099532674148888600
1000388114727124994,965213681788141600
1000388114727124994,1276260116124311600
1000388114727124994,1053707196607971300
1000388114727124994,1255929084204527600
1000388114727124994,1962859850
1000388114727124994,1315959478202892300
1000388114727124994,949595829593165800
1000388114727124994,1256886219604197400
1000388114727124994,281537411
1000388114727124994,2347955137
1000388114727124994,721196490
1000388114727124994,3633898279
1000388114727124994,870053373969616900
1000388114727124994,1233783257461919700
1000388114727124994,1300776417546760200
1000388114727124994,1264157019205890000
1000388114727124994,957965920189562900
1000388114727124994,1110778463831511000
1000388114727124994,1314982688428757000
1000388114727124994,1259030527643807700
1000388114727124994,996347792611143700
1000388114727124994,851655928176820200
1000388114727124994,1216229022134194200
1000388114727124994,1285537893260202000
1000388114727124994,1264601050008322000
1000388114727124994,1093850144959656000
1000388114727124994,1279512938471137300
1000388114727124994,1306605890859081700
1000388114727124994,1271565953877201000
1000388114727124994,1100982815481651200
1000388114727124994,968897319356719100
1000388114727124994,1242923622827786200
1000388114727124994,1312818675397820400
