Id,Label,timeset,modularity_class,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality,nodecolor-multimode,Authority,Hub
1120441187670867969,1120441187670867969,,10,0,296,2,0,2,2,0,2,0,0,0,0,0,0.230189,blue,0.024391,0
967589986282356736,967589986282356736,,0,0,205,2,0,2,2,0,2,0,0,0,0,0,0.129957,blue,0.000085,0
738087901100048385,738087901100048385,,3,0,391,0,3,3,0,3,3,1,1,1,0,0,0,red,0,0.000631
1191317269558824966,1191317269558824966,,10,0,390,16,0,16,17,0,17,0,0,0,0,0,0.179158,blue,0.000372,0
956111036716793856,956111036716793856,,3,0,392,0,1,1,0,1,1,1,1,1,0,0,0,red,0,0.000589
1122220091247079424,1122220091247079424,,16,0,347,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000032,0
1114566571601489921,1114566571601489921,,10,0,393,0,1,1,0,1,1,4,0.40201,0.420486,0,0,0,blue,0,0
960607323457810432,960607323457810432,,10,0,204,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
4262077017,4262077017,,16,0,346,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000032,0
895368804745830400,895368804745830400,,10,0,201,3,0,3,4,0,4,0,0,0,0,0.166667,0.374787,blue,0.000357,0
1026499566747541504,1026499566747541504,,13,0,203,2,0,2,2,0,2,0,0,0,0,0,0.152021,blue,0.000116,0
1063156679221633027,1063156679221633027,,3,0,200,2,0,2,2,0,2,0,0,0,0,0,0.129957,blue,0.000325,0
908049637168308224,908049637168308224,,16,0,345,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000032,0
176762428,176762428,,3,0,395,1,2,3,1,2,3,1,1,1,2,0,0.009818,red,0.000045,0.000589
988588647845949440,988588647845949440,,10,0,199,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
1169791486944169984,1169791486944169984,,10,0,198,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
1037083040735010817,1037083040735010817,,10,0,197,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
1061770427658231808,1061770427658231808,,3,0,396,2,1,3,2,1,3,1,1,1,1,0.166667,0.041701,blue,0.024441,0.000589
1129768615337758720,1129768615337758720,,13,0,344,4,0,4,4,0,4,0,0,0,0,0,0.083402,blue,0.00039,0
963019504455335937,963019504455335937,,10,0,196,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
932734800657608704,932734800657608704,,16,0,343,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000032,0
1151799941649485825,1151799941649485825,,10,0,295,1,0,1,1,0,1,0,0,0,0,0,0.198306,red,0.000191,0
939641709448675328,939641709448675328,,10,0,195,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
1014867418940919809,1014867418940919809,,10,0,374,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0,0
860308179716014086,860308179716014086,,10,0,342,3,0,3,3,0,3,0,0,0,0,0,0.051519,blue,0.00066,0
2988409440,2988409440,,3,0,422,1,26,27,1,26,27,2,0.964286,0.981481,52,0.001425,0.031882,blue,0.000079,0.003645
699424729338376192,699424729338376192,,3,0,421,3,0,3,3,0,3,0,0,0,0,0,0.098042,blue,0.024302,0
1146555342286938122,1146555342286938122,,3,0,2167,1,1696,1697,1,1718,1719,2,0.953961,0.97587,1782,0.000003,0.009818,red,0.000001,0.998032
1237669107006242816,1237669107006242816,,13,0,2166,2,0,2,2,0,2,0,0,0,0,0,0.041701,blue,0.024484,0
1072985528767791104,1072985528767791104,,10,0,194,5,0,5,7,0,7,0,0,0,0,0,0.203541,blue,0.024582,0
3185161170,3185161170,,3,0,2165,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
818917797199839233,818917797199839233,,10,0,44,5,0,5,5,0,5,0,0,0,0,0.05,0.328231,blue,0.024708,0
1040724170953252864,1040724170953252864,,10,0,367,9,0,9,9,0,9,0,0,0,0,0,0.11043,blue,0.000216,0
203932978,203932978,,3,0,2164,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
992923960877568000,992923960877568000,,1,1,2169,0,1,1,0,1,1,1,1,1,0,0,0,red,0,0
1120009372137066496,1120009372137066496,,1,1,2168,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0,0
1267112929809305604,1267112929809305604,,3,0,2163,1,0,1,2,0,2,0,0,0,0,0,0.031882,blue,0.0242,0
1011056726475530241,1011056726475530241,,3,0,2162,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
868849135897780225,868849135897780225,,3,0,2161,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
944711672245170178,944711672245170178,,10,0,192,3,0,3,3,0,3,0,0,0,0,0.166667,0.328263,blue,0.000373,0
1077927714785513472,1077927714785513472,,3,0,420,2,0,2,2,0,2,0,0,0,0,0,0.088224,blue,0.024288,0
797985709277614080,797985709277614080,,3,0,193,3,0,3,3,0,3,0,0,0,0,0,0.186299,blue,0.000174,0
1153283418693615616,1153283418693615616,,13,0,191,4,0,4,4,0,4,0,0,0,0,0,0.171658,blue,0.024774,0
1138090777932902401,1138090777932902401,,0,0,81,5,0,5,5,0,5,0,0,0,0,0,0.049092,red,0.000032,0
812013218583506944,812013218583506944,,3,0,341,5,0,5,5,0,5,0,0,0,0,0,0.071156,blue,0.000999,0
963065672,963065672,,3,0,2196,1,38,39,1,38,39,3,0.698925,0.789744,65,0.000675,0.009818,red,0,0.003267
1118839010871345154,1118839010871345154,,3,0,2195,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000079,0
2889235098,2889235098,,3,0,419,2,0,2,2,0,2,0,0,0,0,0,0.088224,blue,0.024288,0
3372639833,3372639833,,3,0,2160,1,1,2,1,1,2,1,1,1,2,0,0.031882,blue,0.0242,0
963395480,963395480,,10,0,2197,0,1,1,0,1,1,1,1,1,0,0,0,red,0,0.000005
841211030562725890,841211030562725890,,10,0,2158,4,0,4,4,0,4,0,0,0,0,0,0.061338,blue,0.02507,0
537652294,537652294,,10,0,45,2,6,8,2,6,8,1,1,1,16,0.017857,0.041701,blue,0.024263,0.000615
123358870,123358870,,3,0,2157,2,0,2,2,0,2,0,0,0,0,0,0.041701,blue,0.024441,0
1264311480775774214,1264311480775774214,,10,0,294,1,0,1,1,0,1,0,0,0,0,0,0.198306,red,0.000191,0
722999332027260928,722999332027260928,,3,0,2194,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000079,0
372029979,372029979,,3,0,2156,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
1122340354332741632,1122340354332741632,,3,0,389,3,0,3,3,0,3,0,0,0,0,0,0.115875,blue,0.02423,0
1225764636,1225764636,,3,0,2193,3,0,3,3,0,3,0,0,0,0,0,0.051519,blue,0.001084,0
64285786,64285786,,13,0,2119,11,0,11,11,0,11,0,0,0,0,0,0.152131,blue,0.024698,0
865884586059980801,865884586059980801,,10,0,2203,0,6,6,0,6,6,1,1,1,0,0,0,red,0,0.000623
946541069457539072,946541069457539072,,10,0,2202,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0.000015,0
916047162735079425,916047162735079425,,3,0,1552,5,0,5,5,0,5,0,0,0,0,0,0.09322,blue,0.025465,0
